,date,exercise_date,close,contract_type,exercise_price,maturity
3185,2015-02-17,2015-03-25,0.0525,call,2.45,0.09863013698630137
380,2015-02-17,2015-04-22,0.1638,call,2.3,0.17534246575342466
3033,2015-02-17,2015-09-23,0.1513,put,2.4,0.5972602739726027
4123,2015-02-17,2015-09-23,0.157,call,2.5,0.5972602739726027
3949,2015-02-17,2015-06-24,0.0995,call,2.5,0.34794520547945207
34,2015-02-17,2015-03-25,0.183,call,2.25,0.09863013698630137
202,2015-02-17,2015-03-25,0.0291,put,2.3,0.09863013698630137
1566,2015-02-17,2015-06-24,0.1206,put,2.4,0.34794520547945207
2268,2015-02-17,2015-09-23,0.2016,call,2.4,0.5972602739726027
4273,2015-02-17,2015-09-23,0.209,put,2.5,0.5972602739726027
333,2015-02-17,2015-04-22,0.1994,call,2.25,0.17534246575342466
286,2015-02-17,2015-04-22,0.2476,call,2.2,0.17534246575342466
662,2015-02-17,2015-04-22,0.0632,put,2.35,0.17534246575342466
1206,2015-02-17,2015-06-24,0.045,put,2.2,0.34794520547945207
936,2015-02-17,2015-06-24,0.2029,call,2.3,0.34794520547945207
615,2015-02-17,2015-04-22,0.0442,put,2.3,0.17534246575342466
1962,2015-02-17,2015-09-23,0.2573,call,2.3,0.5972602739726027
3661,2015-02-17,2015-09-23,0.1768,put,2.45,0.5972602739726027
174,2015-02-17,2015-03-25,0.0195,put,2.25,0.09863013698630137
474,2015-02-17,2015-04-22,0.1025,call,2.4,0.17534246575342466
1026,2015-02-17,2015-06-24,0.1728,call,2.35,0.34794520547945207
1386,2015-02-17,2015-06-24,0.0734,put,2.3,0.34794520547945207
3239,2015-02-17,2015-04-22,0.0787,call,2.45,0.17534246575342466
258,2015-02-17,2015-03-25,0.0639,put,2.4,0.09863013698630137
90,2015-02-17,2015-03-25,0.1078,call,2.35,0.09863013698630137
146,2015-02-17,2015-03-25,0.0127,put,2.2,0.09863013698630137
62,2015-02-17,2015-03-25,0.1419,call,2.3,0.09863013698630137
2727,2015-02-17,2015-09-23,0.1094,put,2.3,0.5972602739726027
4036,2015-02-17,2015-06-24,0.1758,put,2.5,0.34794520547945207
521,2015-02-17,2015-04-22,0.0224,put,2.2,0.17534246575342466
846,2015-02-17,2015-06-24,0.2308,call,2.25,0.34794520547945207
230,2015-02-17,2015-03-25,0.043,put,2.35,0.09863013698630137
3861,2015-02-17,2015-04-22,0.0599,call,2.5,0.17534246575342466
1296,2015-02-17,2015-06-24,0.0601,put,2.25,0.34794520547945207
3420,2015-02-17,2015-06-24,0.1441,put,2.45,0.34794520547945207
3509,2015-02-17,2015-09-23,0.1769,call,2.45,0.5972602739726027
118,2015-02-17,2015-03-25,0.0769,call,2.4,0.09863013698630137
1476,2015-02-17,2015-06-24,0.0958,put,2.35,0.34794520547945207
1657,2015-02-25,2015-09-23,0.299,call,2.2,0.5753424657534246
2881,2015-02-25,2015-09-23,0.1432,put,2.35,0.5753424657534246
91,2015-02-25,2015-03-25,0.076,call,2.35,0.07671232876712329
3862,2015-02-25,2015-04-22,0.0432,call,2.5,0.15342465753424658
475,2015-02-25,2015-04-22,0.0785,call,2.4,0.15342465753424658
3186,2015-02-25,2015-03-25,0.0333,call,2.45,0.07671232876712329
3812,2015-02-25,2015-03-25,0.0208,call,2.5,0.07671232876712329
4037,2015-02-25,2015-06-24,0.1896,put,2.5,0.32602739726027397
3837,2015-02-25,2015-03-25,0.1483,put,2.5,0.07671232876712329
569,2015-02-25,2015-04-22,0.0412,put,2.25,0.15342465753424658
1117,2015-02-25,2015-06-24,0.1298,call,2.4,0.32602739726027397
7,2015-02-25,2015-03-25,0.1885,call,2.2,0.07671232876712329
616,2015-02-25,2015-04-22,0.0578,put,2.3,0.15342465753424658
1477,2015-02-25,2015-06-24,0.1085,put,2.35,0.32602739726027397
522,2015-02-25,2015-04-22,0.0285,put,2.2,0.15342465753424658
710,2015-02-25,2015-04-22,0.1033,put,2.4,0.15342465753424658
428,2015-02-25,2015-04-22,0.1032,call,2.35,0.15342465753424658
3906,2015-02-25,2015-04-22,0.1638,put,2.5,0.15342465753424658
2269,2015-02-25,2015-09-23,0.178,call,2.4,0.5753424657534246
1387,2015-02-25,2015-06-24,0.087,put,2.3,0.32602739726027397
35,2015-02-25,2015-03-25,0.1454,call,2.25,0.07671232876712329
